------------------------------------------------------------------------------------
导出信息：
姓名：测试用户
支付宝账户：137****6428
起始时间：[2022-05-30 00:00:00]    终止时间：[2023-05-29 23:59:59]
导出交易类型：[全部]
导出时间：[2023-05-29 12:35:09]
共734笔记录
收入：27笔 8489.01元
支出：528笔 65003.88元
不计收支：179笔 20054.44元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间            ,交易分类                ,交易对方                ,对方账号                ,商品说明                ,收/支                 ,金额                  ,收/付款方式              ,交易状态                ,交易订单号     ,商家订单号           ,备注                  ,
2025-01-01 08:00:00,保险,国泰**司,fin***@cathay-ins.com.cn,保险-买家版运费险-EGGKA木耳边一体绒打底衫女内搭秋冬2022新款半高领加绒针织上衣等,支出,7.88,中信银行信用卡(6428),交易成功,2023010522001199861407503809	,T1100P1790123557322669684	,,
2025-01-01 08:00:00,日用百货,诸永神仙居服务区(西区),cic***@163.com,浙江高速商贸-消费,支出,30.20,中信银行信用卡(6428),交易成功,2023042722001474561447895740	,G0047A230427183417	,,
2025-02-01 08:00:00,其他,网商银行,/,支付宝转入到余利宝,支出,50.00,余额,交易成功,2019041500056100560013947596	,2019041523065481324797	,,
2025-02-01 08:00:00,生活服务,杭州菜鸟供应链管理有限公司,gg4***@cainiao.com,菜鸟裹裹-寄件费_3160668496_LP00626510346220（不计收支）,不计收支,12.00,支付宝小荷包(测试用户的小荷包),交易成功,2024011722001499861415203319	,CN_V1_601335954246730730	,,
2025-03-01 08:00:00,生活服务,杭州菜鸟供应链管理有限公司,gg4***@cainiao.com,菜鸟裹裹-寄件费_3160668496_LP00619236134878,支出,10.00,中信银行信用卡(6428),交易成功,2023121522001499861403927665	,CN_V1_601283437563770225	,,
2025-03-01 08:00:00,转账红包,中国农业银行,/,提现-快速提现,不计收支,109.10,余额,交易成功,20170226200040011100560048805958	,148812394703121	,,
2025-04-01 08:00:00,投资理财,中***********公司,/,理财买入-国寿安鑫盈360天,不计收支,1000.00,余额宝,交易成功,20200206516595235605	,202002061002300004560073204113-AUTH_CONFIRM	,,
2025-04-01 08:00:00,投资理财,易方达黄金-蚂蚁（杭州）基金销售有限公司,/,易方达黄金-买入,不计收支,2000.00,,交易成功,20210927001080012204560074581966	,	,,
2025-05-01 08:00:00,投资理财,建信养老金管理有限责任公司,/,定期理财-建信养老飞月宝,不计收支,2000.00,余额宝,交易成功,20190222801796265602	,201902221002300004560031789178-NORMAL_BUY	,,
2025-05-01 08:00:00,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-交银定期支付双息平衡混合-卖出至余额宝,不计收支,99.34,余额宝,交易成功,2xxxxxxxxxxxxxxxxxxxxxxxxxx8	,	,,
2025-06-01 08:00:00,投资理财,易方达黄金-蚂蚁（杭州）基金销售有限公司,/,易方达黄金-卖出至余额宝,不计收支,2125.89,余额宝,交易成功,20221028001080012404560017468062	,	,,
2025-06-01 08:00:00,信用借还,蚂蚁借呗,/,蚂蚁借呗放款至银行卡,不计收支,1500.00,中国建设银行储蓄卡(2105),放款成功,2018010910193018150000000000560053330410	,	,,
2025-07-01 08:00:00,信用借还,蚂蚁借呗,/,蚂蚁借呗还款,不计收支,100.00,余额,还款成功,2018022110193018530000000000560088315713	,	,,
2025-07-01 08:00:00,信用借还,备用金,/,备用金归还,不计收支,500.00,余额宝,还款成功,2020012810193018520000000000560055028596	,	,,
2025-08-01 08:00:00,信用借还,备用金,/,备用金取出至余额,不计收支,500.00,,放款成功,2020012110194018150000000000560003007302	,	,,
2025-08-01 08:00:00,医疗健康,温医大附二院,wyd***@126.com,诊疗费用-184485277,支出,33.66,余额宝&支付宝随机立减,交易成功,2022111122001499861430848475	,184485277	,,
2025-01-01 08:00:00,医疗健康,温州医科大学附属口腔医院,/,医保支付(不含自费),支出,0.00,,支付成功,20221210998659705112	,330000167064109085700831691960	,,
2025-01-01 08:00:00,信用借还,花呗,/,自动还款-花呗2020年10月账单,不计收支,672.92,余额宝,还款成功,2020101529020848560142193443	,	,,
2025-02-01 08:00:00,信用借还,花呗,/,主动还款-花呗2021年05月账单,不计收支,386.61,余额宝&花呗金,还款成功,2021051029020841560164188831	,	,
2025-02-01 08:00:00,信用借还,花呗,/,花呗主动还款-2022年10月账单,不计收支,7.00,余额宝,还款成功,2022101229020999860180140914	,	,,
2025-05-01 08:00:00,信用借还,花呗,/,花呗主动还款,不计收支,291.85,,还款失败,2023122729020999860177367629	,	,,
2025-05-01 08:00:00,信用借还,花呗（解析文件中未包含交通银行储蓄卡）,/,花呗主动还款-2024年01月账单,不计收支,99.92,交通银行储蓄卡(5242)&花呗金,还款成功,2023122729020999860177630843	,	,,
2025-05-01 08:00:00,数码电器,sandisk闪迪旗舰店,mts***@163.com,sandisk闪迪旗舰店固态移动硬盘1t高速USB3.1便携加密TypeC接口手机电脑两用外接PSSD固态硬盘1TB,支出,849.00,花呗分期(3期),交易成功,2021032722001174561409509406	,T200P1676328589292476065	,,
2025-05-01 08:00:00,家居家装,公牛**店,gon***@163.com,【38价】公牛轨道插座排插可移动轨道插座导轨厨房客厅卧室无线排插厨房,支出,444.00,中信银行信用卡分期(6428) 3期,交易成功,2024030122001174561405075488	,T200P2071605975736476065	,,
2025-01-01 08:00:00,信用借还,海南掌上能量传媒有限公司,/,自动解冻-速绿充电预授权转支付,不计收支,0.00,,解冻成功,20200711715988975605	,ZXY2020071119394795881	,,
2025-01-01 08:00:00,生活服务,海南掌上能量传媒有限公司,znc***@163.com,速绿充电预授权转支付,支出,4.50,花呗,交易成功,2020071122001474561421191408	,ZXY2020071119394795881	,,
2025-02-01 08:00:00,信用借还,海南掌上能量传媒有限公司,/,速绿充电预授权冻结ZXY2020071119394795881,不计收支,0.00,,芝麻免押下单成功,20200711715625215605	,ZXY2020071119394795881	,,
2025-02-01 08:00:00,交通出行,哈啰出行,gej***@hellobike.com,哈啰单车车费,支出,0.00,单车骑行卡抵扣,交易成功,2020052022001474561449171748	,13ada5ef2877495eb88fec9cfbadcf4f	,,
2025-03-01 08:00:00,转账红包,支付宝红包,/,发普通红包,支出,0.02,余额宝,交易成功,20200115200040031100560087766552	,202001150206302230902926560047789085	,,
2025-03-01 08:00:00,餐饮美食,孟,157******16,商品,支出,1.44,花呗&红包,交易成功,2020011522001474561411349144	,15790454433912692174564	,,
2025-04-01 08:00:00,充值缴费,中国移动,zyd***@163.com,话费自动充值,支出,100.00,招商银行信用卡(4523),交易成功,2025022323001474561427703610	,00952025022303120288437798999048	,,
