------------------------------------------------------------------------------------
导出信息：
姓名：测试用户
支付宝账户：138****0000
起始时间：[2023-02-01 00:00:00]    终止时间：[2025-11-30 23:59:59]
导出交易类型：[全部]
导出时间：[2025-11-30 12:00:00]
共82笔记录
收入：3笔 26500.00元
支出：79笔 101629.14元
不计收支：3笔 5250.00元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间            ,交易分类                ,交易对方                ,对方账号                ,商品说明                ,收/支                 ,金额                  ,收/付款方式              ,交易状态                ,交易订单号     ,商家订单号           ,备注                  ,
2025-12-18 18:16:25,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,15.12,余额宝,交易成功,2025000000001070AP,,
2025-12-10 11:11:47,公共服务,浙江省财政厅,zjs***@sina.cn,统一公共支付平台2025000000001043AP 办理驾驶证工本费,支出,109.98,中信银行信用卡(6428)&红包,交易成功,2025000000001043AP	,,,
2025-12-01 18:12:03,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,37.94,中信银行信用卡(6428),交易成功,202511182200147AP	,	,,
2025-11-20 19:14:38,餐饮美食,蜜雪冰城,/,蜜雪冰城944854店,支出,2.00,余额宝,交易成功,2025000000001066AP,,
2025-11-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001055AP,,
2025-11-14 19:00:00,日用百货,南浦母婴店,sad***@mail.rt-mart.com.cn,母婴用品采购,支出,126.55,中信银行信用卡(6428),交易成功,2025000000001023AP,,
2025-11-14 09:27:34,医疗健康,温州医科大学附属第二医院、育英儿童医院,/,医保支付(不含自费),支出,0.00,,支付成功,20251114061103AP	,	,,
2025-11-14 06:11:00,母婴亲子,十月**店,116***@qq.com,【新风潮价】十月结晶剖腹产防水贴伤口贴孕产妇术后洗澡防水透气EO灭菌5片装 等多件,支出,25.22,中信银行信用卡(6428)&红包,交易成功,20251114061101AP	,	,,
2025-11-10 19:22:45,母婴亲子,十月**店,116***@qq.com,【新风潮价】十月结晶新生婴儿硅胶安抚奶嘴牙胶宝宝防胀气0到3-6个月一岁以上 等多件,支出,38.90,中信银行信用卡(6428),交易成功,20251114061104AP	,	,,
2025-11-09 20:05:54,美容美发,ce**店,nei***@crtrade.cn,【活动价】丝塔芙大白罐保湿霜敏感肌温和宝宝树获奖身体乳霜不含烟酰胺,支出,284.56,中信银行信用卡(6428),交易成功,2026030922001174561419447795	,T200P3286427233025476065	,,
2025-11-08 16:00:00,母婴亲子,babycare**店,bei***@xier-inc.com,babycare皇室狮子王国纸尿裤拉拉裤超薄透气婴儿宝宝尿不湿mini装,支出,189.91,花呗,交易成功,2025000000001022AP	,	,,
2025-11-08 14:05:27,爱车养车,抖音生活服务商家,cds***@bytedance.com,双人餐,支出,159.99,余额宝,交易成功,2025000000001071AP,,
2025-11-04 10:30:49,家居家装,th**店,lit***@thebeastshop.com,【活动价】【38立即抢购】野兽派香氛礼盒香薰蜡烛礼品家居卧室散香器礼物,支出,132.88,中信银行信用卡(6428),交易成功,2026030422001174561454675681	,T200P3274255383101476065	,,
2025-11-01 09:03:28,其他,阿里,p-s***@service.taobao.com,88VIP生活卡年卡,支出,88.00,中信银行信用卡(6428),交易成功,2025000000001056AP	,	,,
2025-10-28 19:29:53,充值缴费,温州市供电局,/,电费自动缴费-示例小区-根据每期出账后自动缴费,支出,112.00,中信银行信用卡(6428),交易成功,2025000000001065AP,,
2025-10-28 11:50:10,餐饮美食,温州捷哥小食店,/,堂食-捷哥小食店,支出,330.00,中信银行信用卡(6428),交易成功,2025000000001078AP,,
2025-10-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001054AP,,
2025-10-08 18:25:17,日用百货,温州山姆会员商店有限公司,mp0***@walmart.com,温州山姆会员商店,支出,901.70,中信银行信用卡(6428),交易成功,2025000000001079AP	,	,,
